gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,direct_association.diseaseId,direct_association.score,direct_association.disease,ensembl_ID
SLC6A8,3,HEART,LIVER,LUNG,"","","",Orphanet_52503,0.833485622870617,"X-linked creatine transporter deficiency: X-linked creatine transporter deficiency (CRTR-D) is a creatine deficiency syndrome characterized clinically by global developmental delay/ intellectual disability (DD/ID) with prominent speech/language delay, autistic behavior and seizures.",ENSG00000130821
TUBA1A,3,COLON,HEART,SPLEEN,"","","",Orphanet_171680,0.808038858814008,"Lissencephaly due to TUBA1A mutation: Lissencephaly (LIS) due to TUBA1A mutation is a congenital cortical development anomaly due to abnormal neuronal migration involving neocortical and hippocampal lamination, corpus callosum, cerebellum and brainstem. A large clinical spectrum can be observed, from children with severe epilepsy and intellectual and motor deficit to cases with severe cerebral dysgenesis in the antenatal period leading to pregnancy termination due to the severity of the prognosis.",ENSG00000167552
APOB,3,COLON,KIDNEY,LUNG,"","","",Orphanet_31154,0.787151958972397,Hypobetalipoproteinemia: A group of lipoprotein metabolism disorders that are characterized by permanently low levels (below the 5th percentile) of apolipoprotein B and LDL cholesterol.,ENSG00000084674
TUBB2A,3,ADRNL,COLON,SPLEEN,"","","",Orphanet_183506,0.757011485177841,Genetic central nervous system malformation: NA,ENSG00000137267
APOB,3,COLON,KIDNEY,LUNG,"","","",MONDO_0007751,0.618532951243147,"hypercholesterolemia, autosomal dominant, type B: NA",ENSG00000084674
HMOX1,3,ADRNL,HEART,LIVER,"","","",MONDO_0013536,0.617331816715421,heme oxygenase 1 deficiency: NA,ENSG00000100292
TUBA1A,3,COLON,HEART,SPLEEN,"","","",Orphanet_102011,0.554534039740246,Lissencephaly type 3: NA,ENSG00000167552
SERPINH1,3,ADRNL,HEART,LUNG,"","","",MONDO_0012511,0.552809333751717,preterm premature rupture of the membranes: A female reproductive system disease characterized by rupture of chorioamniotic membranes before 37 weeks of gestation.,ENSG00000149257
APOB,3,COLON,KIDNEY,LUNG,"","","",MONDO_0014252,0.503876790581939,familial hypobetalipoproteinemia 1: Any hypobetalipoproteinemia in which the cause of the disease is a mutation in the APOB gene.,ENSG00000084674
TUBA1A,3,COLON,HEART,SPLEEN,"","","",Orphanet_45358,0.436104228527948,Congenital fibrosis of extraocular muscles: NA,ENSG00000167552
APOB,3,COLON,KIDNEY,LUNG,"","","",EFO_0010222,0.428420713441675,ceramide measurement: A quantification of ceramides.,ENSG00000084674
TUBA1A,3,COLON,HEART,SPLEEN,"","","",HP_0002536,0.340013466309926,"Abnormal cortical gyration: An abnormality of the gyri (i.e., the ridges) of the cerebral cortex of the brain.",ENSG00000167552
TUBA1A,3,COLON,HEART,SPLEEN,"","","",Orphanet_1935,0.340013466309926,"Early myoclonic encephalopathy: Early myoclonic encephalopathy (EME) is characterized clinically by the onset of fragmentary myoclonus appearing in the first month of life, often associated with erratic focal seizures and a suppression-burst EEG pattern.",ENSG00000167552
TUBA1A,3,COLON,HEART,SPLEEN,"","","",Orphanet_62,0.340013466309926,"Autosomal recessive limb-girdle muscular dystrophy type 2D: Autosomal recessive limb-girdle muscular dystrophy type 2D (LGMD2D) is a subtype of autosomal recessive limb-girdle muscular dystrophy characterized by childhood onset of progressive proximal weakness of the shoulder and pelvic girdle muscles, resulting in difficulty walking, scapular winging, calf hypertrophy and contractures of the Achilles tendon, which lead to a tiptoe gait pattern. Cardiac and respiratory involvement is rare.",ENSG00000167552
TUBA1A,3,COLON,HEART,SPLEEN,"","","",Orphanet_269570,0.332621869216232,Genetic syndrome with a Dandy-Walker malformation as major feature: NA,ENSG00000167552
TUBA1A,3,COLON,HEART,SPLEEN,"","","",EFO_0020030,0.277020594005022,tubulinopathy: A congenital nervous system abnormality characterized by complex cortical malformations including in most cases dysmorphic basal ganglia that has_material_basis_in mutation in one or more of the tubulin genes.,ENSG00000167552
VSIR,3,COLON,LUNG,SMLINT,"","","",EFO_0010911,0.24217436386003,C-X-C motif chemokine 16 measurement: Quantification of the amount of C-X-C motif chemokine 16 in a sample,ENSG00000107738
PDZD2,3,COLON,HEART,LUNG,"","","",EFO_0009472,0.220797318168822,tympanic membrane perforation: Presence of a hole or tear in the tympanic membrane (eardrum).,ENSG00000133401
GLB1,2,ADRNL,COLON,"","","","",Orphanet_79255,0.842745674887448,GM1 gangliosidosis type 1: GM1 gangliosidosis type 1 is the severe infantile form of GM1 gangliosidosis (see this term) with variable neurological and systemic manifestations.,ENSG00000170266
FOXP3,2,HEART,SPLEEN,"","","","",Orphanet_37042,0.840045550521703,"Immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome: Immunodysregulation - polyendocrinopathy - enteropathy - X-linked (IPEX) syndrome is a severe congenital systemic autoimmune disease characterized by refractory diarrhea, endocrinopathies, cutaneous involvement, and infections.",ENSG00000049768
GLB1,2,ADRNL,COLON,"","","","",Orphanet_309310,0.836263597196971,Mucopolysaccharidosis type 4B: A rare autosomal recessive lysosomal storage disease caused by deficiency of the enzyme beta galactosidase. It is characterized by skeletal dysplasia and short stature.,ENSG00000170266
GLB1,2,ADRNL,COLON,"","","","",Orphanet_79256,0.832350682432209,"GM1 gangliosidosis type 2: GM1 gangliosidosis type 2 is a clinically variable, infancy or childhood-onset form of GM1 gangliosidosis characterized by normal early development and psychomotor regression between seven months and three years of age.",ENSG00000170266
DPYD,2,ADRNL,KIDNEY,"","","","",Orphanet_1675,0.82310830021591,"Dihydropyrimidine dehydrogenase deficiency: Dihydropyrimidine dehydrogenase (DPD) deficiency isaconditionin which the body cannot break down the nucleotides thymine and uracil. DPD deficiency can have a wide range of severity; some individuals may have various neurological problems, while others have no signsand symptoms. Signs and symptoms in severely affected individuals begin in infancy and may include seizures, intellectual disability, microcephaly, increased muscle tone (hypertonia), delayed motor skills, and autistic behavior. All individuals with the condition, regardless of the presence or severity of symptoms, are at risk for severe, toxic reactions to drugs called fluoropyrimidines which are used to treat cancer. Individuals with no symptoms may be diagnosed only by laboratory testing or after exposure to fluoropyrimidines. DPD deficiency is caused by mutations in the DPYD gene and is inherited in an autosomal recessive manner.",ENSG00000188641
GLB1,2,ADRNL,COLON,"","","","",Orphanet_79257,0.819428499869016,"GM1 gangliosidosis type 3: GM1 gangliosidosis type 3 is a mild, chronic, adult form of GM1 gangliosidosis (see this term) characterized by onset generally during childhood or adolescence and by cerebellar dysfunction.",ENSG00000170266
NBEAL2,2,HEART,SPLEEN,"","","","",Orphanet_721,0.805556881630223,"Gray platelet syndrome: Gray platelet syndrome (GPS) is a rare inherited bleeding disorder characterized by macrothrombocytopenia, myelofibrosis, splenomegaly and typical gray appearance of platelets on Wright stained peripheral blood smear.",ENSG00000160796
GATA3,2,HEART,SPLEEN,"","","","",Orphanet_2237,0.803845791128441,"Hypoparathyroidism - deafness - renal disease: The HDR syndrome is an inherited condition consisting of hypoparathyroidism, sensorineural deafness and renal disease.",ENSG00000107485
TGFBR2,2,ADRNL,COLON,"","","","",Orphanet_284973,0.80121242260001,Marfan syndrome type 2: NA,ENSG00000163513
HSD11B2,2,ADRNL,KIDNEY,"","","","",Orphanet_320,0.786310088312328,"Apparent mineralocorticoid excess: Apparent mineralocorticoid excess (AME) is a rare form of pseudohyperaldosteronism characterized by very early-onset and severe hypertension, associated with low renin levels and hypoaldosteronism.",ENSG00000176387
PNP,2,ADRNL,SPLEEN,"","","","",Orphanet_760,0.780830728292502,"Purine nucleoside phosphorylase deficiency: Purine nucleoside phosphorylase deficiency is a purine metabolism disorder resulting in combined T and B cell immunodeficiency that results in recurrent infections. Children are particularly prone to viral infections (chicken pox, mumps, cytomegalovirus) and vaccines, but suppurant bacterial infections have also been noted. One third of all patients have anemia, and 2/3 have neurological signs (ataxia, spastic tetraplegy and tremor).",ENSG00000198805
KIAA1109,2,LIVER,SPLEEN,"","","","",MONDO_0060631,0.778128491706504,Alkuraya-Kucinskas syndrome: NA,ENSG00000138688
CRLF1,2,HEART,LUNG,"","","","",Orphanet_157820,0.774887251897393,"Cold-induced sweating syndrome: Cold-induced sweating syndrome (CISS) is characterized by profuse sweating (involving the chest, face, arms and trunk) induced by cold ambient temperature.",ENSG00000006016
PDSS1,2,ADRNL,COLON,"","","","",Orphanet_254898,0.768725658103247,"Deafness - encephaloneuropathy - obesity - valvulopathy: Deafness-encephaloneuropathy-obesity-valvulopathy syndrome is a rare mitochondrial disease with marked clinical variability typically characterized by encephalomyopathy, kidney disease (nephrotic syndrome), optic atrophy, early-onset deafness, pancytopenia, obesity, and cardiac disease (valvulopathy). Additionally, macrocephaly, intellectual disability, hyperlactatemia, elevated lactate/pyruvate ratio, insulin-dependent diabetes, livedo reticularis, liver dysfunction and seizures have also been associated.",ENSG00000148459
CRLF1,2,HEART,LUNG,"","","","",Orphanet_1545,0.766684649919039,"Crisponi syndrome: Crisponi syndrome (CS) is a severe disorder characterized by muscular contractions at birth, intermittent hyperthermia, facial abnormalities and camptodactyly.",ENSG00000006016
SLC39A8,2,ADRNL,LUNG,"","","","",MONDO_0014746,0.765703251655651,SLC39A8-CDG: NA,ENSG00000138821
ZAP70,2,SMLINT,SPLEEN,"","","","",Orphanet_911,0.763975909386787,"Combined immunodeficiency due to ZAP70 deficiency: Combined immunodeficiency due to ZAP70 deficiency is a very rare, severe, genetic, combined immunodeficiency disorder characterized by lymphocytosis, decreased peripheral CD8+ T-cells, and presence of normal circulating CD4+ T-cells, leading to immune dysfunction.",ENSG00000115085
FMO3,2,LUNG,SPLEEN,"","","","",MONDO_0011182,0.760927703580152,"trimethylaminuria: A rare inborn error of metabolism characterized by the presence of large amounts of trimethylamine in urine, sweat, and breath, resulting in a fishy body odor in affected individuals.",ENSG00000007933
TUBB,2,HEART,SPLEEN,"","","","",Orphanet_183506,0.754593651254011,Genetic central nervous system malformation: NA,ENSG00000196230
DPM1,2,ADRNL,HEART,"","","","",Orphanet_79322,0.751835722226018,"DPM1-CDG: The CDG (Congenital Disorders of Glycosylation) syndromes are a group of autosomal recessive disorders affecting glycoprotein synthesis. CDG syndrome type Ie is characterised by psychomotor delay, seizures, hypotonia, facial dysmorphism and microcephaly. Ocular anomalies are also very common.",ENSG00000000419
LIFR,2,COLON,KIDNEY,"","","","",Orphanet_3206,0.746993004776622,"Stüve-Wiedemann syndrome: A rare autosomal recessive congenital primary skeletal dysplasia, characterized by small stature, bowing of the long bones, camptodactyly, hyperthermic episodes, respiratory distress/apneic episodes and feeding difficulties that usually lead to early mortality.",ENSG00000113594
