gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,direct_association.diseaseId,direct_association.score,direct_association.disease,ensembl_ID
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,EFO_0004911,0.878540853331099,familial hypercholesterolemia: Familial hypercholesterolemia is is an autosomal dominant disorder characterized by elevation of serum cholesterol bound to low density lipoprotein (OMIM),ENSG00000130164
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,Orphanet_391665,0.845492647062811,Homozygous familial hypercholesterolemia: NA,ENSG00000130164
LPL,4,HEART,HIPPOC,KIDNEY,SKM-VL,Orphanet_309015,0.840010753037644,"Familial lipoprotein lipase deficiency: Familial lipoprotein lipase deficiency is a rare genetic disorder is which a person lacks the enzyme lipoprotein lipase, a protein needed to break down fat molecules. Deficiency of this enzyme prevents affected individuals from properly digesting certain fats. This results in the accumulation of fatty droplets called chylomicrons in the blood and an increase in the blood concentration of triglycerides. Symptoms include episodes of abdominal pain, recurrent inflammation of the pancreas (pancreatitis), abnormal enlargement of the liver and/or spleen (hepatosplenomegaly), and the development of skin lesions known as erruptive xanthomas. Familial lipoprotein lipase deficiency is caused by changes (mutations) in the LPL gene. It is inherited in an autosomal recessive pattern. Treatment aims to control symptoms and blood triglyceride levels with a very low-fat diet. Treatment for individual symptoms (i.e. pancreatitis) involves following established treatment guidelines.",ENSG00000175445
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,Orphanet_367,0.826273750143396,"Glycogen storage disease due to glycogen branching enzyme deficiency: Glycogen branching enzyme (GBE) deficiency (Andersen's disease or amylopectinosis), or glycogen storage disease type 4 (GSD4), is a rare and severe form of glycogen storage disease which accounts for approximately 3% of all the glycogen storage diseases.",ENSG00000114480
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,MONDO_0007750,0.814771106001393,"hypercholesterolemia, familial, 1: NA",ENSG00000130164
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,HP_0003124,0.804989165698506,Hypercholesterolemia: An increased concentration of cholesterol in the blood.,ENSG00000130164
ATP1A2,3,BAT,SKM-GN,SPLEEN,"",Orphanet_569,0.835319597268587,Familial or sporadic hemiplegic migraine: Hemiplegic migraine (HM) is a rare variety of migraine with aura characterized by the presence of a motor weakness during the aura. Hemiplegic migraine has two main forms depending on the familial history: patients with at least one first- or second-degree relative who has aura including motor weakness have familial hemiplegic migraine (FHM); patients without such familial history have sporadic hemiplegic migraine (SHM).,ENSG00000018625
HADHA,3,BAT,BLOOD,HEART,"",Orphanet_5,0.833664304909758,"Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency: Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency (LCHADD) is a mitochondrial disorder of long chain fatty acid oxidation characterized in most patients by onset in infancy/ early childhood with hypoketotic hypoglycemia, metabolic acidosis, liver disease, hypotonia and frequently cardiac involvement with arrhythmias and/or cardiomyopathy.",ENSG00000084754
SLC6A8,3,HEART,LIVER,LUNG,"",Orphanet_52503,0.833485622870617,"X-linked creatine transporter deficiency: X-linked creatine transporter deficiency (CRTR-D) is a creatine deficiency syndrome characterized clinically by global developmental delay/ intellectual disability (DD/ID) with prominent speech/language delay, autistic behavior and seizures.",ENSG00000130821
APOB,3,COLON,KIDNEY,LUNG,"",EFO_0004911,0.83073799026861,familial hypercholesterolemia: Familial hypercholesterolemia is is an autosomal dominant disorder characterized by elevation of serum cholesterol bound to low density lipoprotein (OMIM),ENSG00000084674
ALDH7A1,3,BAT,COLON,KIDNEY,"",Orphanet_3006,0.817480607621184,"Pyridoxine-dependent epilepsy: A rare neurometabolic disease characterized by recurrent intractable seizures in the prenatal, neonatal and postnatal period that are resistant to anti-epileptic drugs (AEDs) but that are responsive to pharmacological dosages of pyridoxine (vitamin B6).",ENSG00000164904
HSPB1,3,HEART,SKM-GN,SKM-VL,"",Orphanet_139525,0.817210869581209,Distal hereditary motor neuropathy type 2: NA,ENSG00000106211
F2,3,COLON,LUNG,SKM-VL,"",Orphanet_325,0.814423005157358,"Congenital factor II deficiency: Congenital factor II deficiency is an inherited bleeding disorder due to reduced activity of factor II (FII, prothrombin) and characterized by mucocutaneous bleeding symptoms.",ENSG00000180210
G6PD,3,BAT,BLOOD,LIVER,"",EFO_1000641,0.808243789993845,congenital nonspherocytic hemolytic anemia: Any one of a group of congenital hemolytic anemias in which there is no abnormal hemoglobin or spherocytosis and in which there is a defect of glycolysis in the erythrocyte. Common causes include deficiencies in glucose-6-phosphate isomerase; pyruvate kinase; and glucose-6-phosphate dehydrogenase.,ENSG00000160211
TUBA1A,3,COLON,HEART,SPLEEN,"",Orphanet_171680,0.808038858814008,"Lissencephaly due to TUBA1A mutation: Lissencephaly (LIS) due to TUBA1A mutation is a congenital cortical development anomaly due to abnormal neuronal migration involving neocortical and hippocampal lamination, corpus callosum, cerebellum and brainstem. A large clinical spectrum can be observed, from children with severe epilepsy and intellectual and motor deficit to cases with severe cerebral dysgenesis in the antenatal period leading to pregnancy termination due to the severity of the prognosis.",ENSG00000167552
