assay	feature_ID	ensembl_gene	entrez_gene	gene_symbol	human_gene_symbol	human_ensembl_gene
transcript-rna-seq	ENSRNOG00000000001	ENSRNOG00000000001				
transcript-rna-seq	ENSRNOG00000000007	ENSRNOG00000000007	24379	Gad1	GAD1	ENSG00000128683
transcript-rna-seq	ENSRNOG00000000008	ENSRNOG00000000008	296511	Alx4	ALX4	ENSG00000052850
transcript-rna-seq	ENSRNOG00000000009	ENSRNOG00000000009	366158	Tmco5b		
transcript-rna-seq	ENSRNOG00000000010	ENSRNOG00000000010	498922	Cbln1	CBLN1	ENSG00000102924
transcript-rna-seq	ENSRNOG00000000012	ENSRNOG00000000012	296272	Tcf15	TCF15	ENSG00000125878
transcript-rna-seq	ENSRNOG00000000017	ENSRNOG00000000017	297738	Steap1	STEAP1B	ENSG00000105889
transcript-rna-seq	ENSRNOG00000000017	ENSRNOG00000000017	297738	Steap1	STEAP1	ENSG00000164647
transcript-rna-seq	ENSRNOG00000000021	ENSRNOG00000000021				
transcript-rna-seq	ENSRNOG00000000024	ENSRNOG00000000024	362454	Hebp1	HEBP1	ENSG00000013583
transcript-rna-seq	ENSRNOG00000000033	ENSRNOG00000000033	305095	Tmcc2	TMCC2	ENSG00000133069
transcript-rna-seq	ENSRNOG00000000034	ENSRNOG00000000034	289419	Nuak2	NUAK2	ENSG00000163545
transcript-rna-seq	ENSRNOG00000000035	ENSRNOG00000000035	689712	Tmed11		
transcript-rna-seq	ENSRNOG00000000036	ENSRNOG00000000036	305096	Klhdc8a	KLHDC8A	ENSG00000162873
transcript-rna-seq	ENSRNOG00000000040	ENSRNOG00000000040	305101	RGD1304622	KIAA1614	ENSG00000135835
transcript-rna-seq	ENSRNOG00000000041	ENSRNOG00000000041	64076	Slc26a1	SLC26A1	ENSG00000145217
transcript-rna-seq	ENSRNOG00000000042	ENSRNOG00000000042	289424	Xpr1	XPR1	ENSG00000143324
transcript-rna-seq	ENSRNOG00000000043	ENSRNOG00000000043	360904	Idua	IDUA	ENSG00000127415
transcript-rna-seq	ENSRNOG00000000044	ENSRNOG00000000044	305623	Tmem175	TMEM175	ENSG00000127419
transcript-rna-seq	ENSRNOG00000000047	ENSRNOG00000000047	83628	Cd82	CD82	ENSG00000085117
transcript-rna-seq	ENSRNOG00000000048	ENSRNOG00000000048	81659	Gak	GAK	ENSG00000178950
transcript-rna-seq	ENSRNOG00000000053	ENSRNOG00000000053	25419	Crp		
transcript-rna-seq	ENSRNOG00000000054	ENSRNOG00000000054	306338	Abhd8	ABHD8	ENSG00000127220
transcript-rna-seq	ENSRNOG00000000055	ENSRNOG00000000055	305103	Fcrl6	FCRL6	ENSG00000181036
transcript-rna-seq	ENSRNOG00000000060	ENSRNOG00000000060	64832	Cplx1	CPLX1	ENSG00000168993
transcript-rna-seq	ENSRNOG00000000062	ENSRNOG00000000062	305624	Pcgf3	PCGF3	ENSG00000185619
transcript-rna-seq	ENSRNOG00000000064	ENSRNOG00000000064	140608	Atp5me	ATP5ME	ENSG00000169020
transcript-rna-seq	ENSRNOG00000000065	ENSRNOG00000000065	289878	Pde6b	PDE6B	ENSG00000133256
transcript-rna-seq	ENSRNOG00000000066	ENSRNOG00000000066	305105	Fbxo28	FBXO28	ENSG00000143756
transcript-rna-seq	ENSRNOG00000000068	ENSRNOG00000000068	312754	Ppp2r5a	PPP2R5A	ENSG00000066027
transcript-rna-seq	ENSRNOG00000000070	ENSRNOG00000000070	100910207	LOC100910207	DR1	ENSG00000117505
transcript-rna-seq	ENSRNOG00000000073	ENSRNOG00000000073	289883	Tmed5	TMED5	ENSG00000117500
transcript-rna-seq	ENSRNOG00000000075	ENSRNOG00000000075	360905	Mtf2	MTF2	ENSG00000143033
transcript-rna-seq	ENSRNOG00000000081	ENSRNOG00000000081	305633	Antxr2	ANTXR2	ENSG00000163297
transcript-rna-seq	ENSRNOG00000000082	ENSRNOG00000000082	295568	Hltf	HLTF	ENSG00000071794
transcript-rna-seq	ENSRNOG00000000091	ENSRNOG00000000091	85435	Smad9		
transcript-rna-seq	ENSRNOG00000000091	ENSRNOG00000000091	103691556	LOC103691556		
transcript-rna-seq	ENSRNOG00000000095	ENSRNOG00000000095	362003	Gpr89b	GPR89A	ENSG00000117262
transcript-rna-seq	ENSRNOG00000000095	ENSRNOG00000000095	362003	Gpr89b	GPR89B	ENSG00000188092
transcript-rna-seq	ENSRNOG00000000096	ENSRNOG00000000096	65144	Pdzk1	PDZK1	ENSG00000174827
transcript-rna-seq	ENSRNOG00000000097	ENSRNOG00000000097	502585	Cd160	CD160	ENSG00000117281
transcript-rna-seq	ENSRNOG00000000098	ENSRNOG00000000098	362002	Rnf115	RNF115	ENSG00000265491
transcript-rna-seq	ENSRNOG00000000104	ENSRNOG00000000104	290519	Thoc3	THOC3	ENSG00000051596
transcript-rna-seq	ENSRNOG00000000105	ENSRNOG00000000105	116657	Cplx2	CPLX2	ENSG00000145920
transcript-rna-seq	ENSRNOG00000000108	ENSRNOG00000000108	290923	Aga	AGA	ENSG00000038002
transcript-rna-seq	ENSRNOG00000000109	ENSRNOG00000000109	66017	Fgf20	FGF20	ENSG00000078579
transcript-rna-seq	ENSRNOG00000000111	ENSRNOG00000000111	290925	Coprs	COPRS	ENSG00000172301
transcript-rna-seq	ENSRNOG00000000112	ENSRNOG00000000112	306647	Champ1	CHAMP1	ENSG00000198824
