assay	feature_ID	ensembl_gene	entrez_gene	gene_symbol	human_gene_symbol	human_ensembl_gene	human_entrez_gene	mouse_gene_symbol	mouse_entrez_gene	ortholog_source
transcript-rna-seq	ENSRNOG00000000001	ENSRNOG00000000001	NA	NA	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000000007	ENSRNOG00000000007	24379	Gad1	GAD1	NA	2571	Gad1	14415	RGD
transcript-rna-seq	ENSRNOG00000000008	ENSRNOG00000000008	296511	Alx4	ALX4	NA	60529	Alx4	11695	RGD
transcript-rna-seq	ENSRNOG00000000009	ENSRNOG00000000009	366158	Tmco5b	TMCO5B	NA	100652857	Tmco5b	75275	RGD
transcript-rna-seq	ENSRNOG00000000010	ENSRNOG00000000010	498922	Cbln1	CBLN1	NA	869	Cbln1	12404	RGD
transcript-rna-seq	ENSRNOG00000000012	ENSRNOG00000000012	296272	Tcf15	TCF15	NA	6939	Tcf15	21407	RGD
transcript-rna-seq	ENSRNOG00000000017	ENSRNOG00000000017	297738	Steap1	STEAP1	NA	26872	Steap1	70358	RGD
transcript-rna-seq	ENSRNOG00000000021	ENSRNOG00000000021	NA	NA	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000000024	ENSRNOG00000000024	362454	Hebp1	HEBP1	NA	50865	Hebp1	15199	RGD
transcript-rna-seq	ENSRNOG00000000033	ENSRNOG00000000033	305095	Tmcc2	TMCC2	NA	9911	Tmcc2	68875	RGD
transcript-rna-seq	ENSRNOG00000000034	ENSRNOG00000000034	289419	Nuak2	NUAK2	NA	81788	Nuak2	74137	RGD
transcript-rna-seq	ENSRNOG00000000035	ENSRNOG00000000035	NA	Tmed11	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000000036	ENSRNOG00000000036	305096	Klhdc8a	KLHDC8A	NA	55220	Klhdc8a	213417	RGD
transcript-rna-seq	ENSRNOG00000000040	ENSRNOG00000000040	305101	RGD1304622	KIAA1614	NA	57710	BC034090	207792	RGD
transcript-rna-seq	ENSRNOG00000000041	ENSRNOG00000000041	64076	Slc26a1	SLC26A1	NA	10861	Slc26a1	231583	RGD
transcript-rna-seq	ENSRNOG00000000042	ENSRNOG00000000042	289424	Xpr1	XPR1	NA	9213	Xpr1	19775	RGD
transcript-rna-seq	ENSRNOG00000000043	ENSRNOG00000000043	360904	Idua	IDUA	NA	3425	Idua	15932	RGD
transcript-rna-seq	ENSRNOG00000000044	ENSRNOG00000000044	305623	Tmem175	TMEM175	NA	84286	Tmem175	72392	RGD
transcript-rna-seq	ENSRNOG00000000047	ENSRNOG00000000047	83628	Cd82	CD82	NA	3732	Cd82	12521	RGD
transcript-rna-seq	ENSRNOG00000000048	ENSRNOG00000000048	81659	Gak	GAK	NA	2580	Gak	231580	RGD
transcript-rna-seq	ENSRNOG00000000053	ENSRNOG00000000053	25419	Crp	CRP	NA	1401	Crp	12944	RGD
transcript-rna-seq	ENSRNOG00000000054	ENSRNOG00000000054	306338	Abhd8	ABHD8	NA	79575	Abhd8	64296	RGD
transcript-rna-seq	ENSRNOG00000000055	ENSRNOG00000000055	305103	Fcrl6	FCRL6	NA	343413	Fcrl6	677296	RGD
transcript-rna-seq	ENSRNOG00000000060	ENSRNOG00000000060	64832	Cplx1	CPLX1	NA	10815	Cplx1	12889	RGD
transcript-rna-seq	ENSRNOG00000000062	ENSRNOG00000000062	305624	Pcgf3	PCGF3	NA	10336	Pcgf3	69587	RGD
transcript-rna-seq	ENSRNOG00000000064	ENSRNOG00000000064	140608	Atp5me	ATP5ME	NA	521	Atp5k	11958	RGD
transcript-rna-seq	ENSRNOG00000000065	ENSRNOG00000000065	289878	Pde6b	PDE6B	NA	5158	Pde6b	18587	RGD
transcript-rna-seq	ENSRNOG00000000066	ENSRNOG00000000066	305105	Fbxo28	FBXO28	NA	23219	Fbxo28	67948	RGD
transcript-rna-seq	ENSRNOG00000000068	ENSRNOG00000000068	312754	Ppp2r5a	PPP2R5A	NA	5525	Ppp2r5a	226849	RGD
transcript-rna-seq	ENSRNOG00000000070	ENSRNOG00000000070	100910207	LOC100910207	DR1	ENSG00000117505	1810	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000073	ENSRNOG00000000073	289883	Tmed5	TMED5	NA	50999	Tmed5	73130	RGD
transcript-rna-seq	ENSRNOG00000000075	ENSRNOG00000000075	360905	Mtf2	MTF2	NA	22823	Mtf2	17765	RGD
transcript-rna-seq	ENSRNOG00000000081	ENSRNOG00000000081	305633	Antxr2	ANTXR2	NA	118429	Antxr2	71914	RGD
transcript-rna-seq	ENSRNOG00000000082	ENSRNOG00000000082	295568	Hltf	HLTF	NA	6596	Hltf	20585	RGD
transcript-rna-seq	ENSRNOG00000000091	ENSRNOG00000000091	85435	Smad9	SMAD9	NA	4093	Smad9	55994	RGD
transcript-rna-seq	ENSRNOG00000000091	ENSRNOG00000000091	85435	LOC103691556	SMAD9	NA	4093	Smad9	55994	RGD
transcript-rna-seq	ENSRNOG00000000095	ENSRNOG00000000095	362003	Gpr89b	GPR89B	NA	51463	Gpr89	67549	RGD
transcript-rna-seq	ENSRNOG00000000096	ENSRNOG00000000096	65144	Pdzk1	PDZK1	NA	5174	Pdzk1	59020	RGD
transcript-rna-seq	ENSRNOG00000000097	ENSRNOG00000000097	502585	Cd160	CD160	NA	11126	Cd160	54215	RGD
transcript-rna-seq	ENSRNOG00000000098	ENSRNOG00000000098	362002	Rnf115	RNF115	NA	27246	Rnf115	67845	RGD
transcript-rna-seq	ENSRNOG00000000104	ENSRNOG00000000104	290519	Thoc3	THOC3	NA	84321	Thoc3	73666	RGD
transcript-rna-seq	ENSRNOG00000000105	ENSRNOG00000000105	116657	Cplx2	CPLX2	NA	10814	Cplx2	12890	RGD
transcript-rna-seq	ENSRNOG00000000108	ENSRNOG00000000108	290923	Aga	AGA	NA	175	Aga	11593	RGD
transcript-rna-seq	ENSRNOG00000000109	ENSRNOG00000000109	66017	Fgf20	FGF20	NA	26281	Fgf20	80857	RGD
transcript-rna-seq	ENSRNOG00000000111	ENSRNOG00000000111	290925	Coprs	COPRS	NA	55352	Coprs	66423	RGD
transcript-rna-seq	ENSRNOG00000000112	ENSRNOG00000000112	306647	Champ1	CHAMP1	NA	283489	Champ1	101994	RGD
transcript-rna-seq	ENSRNOG00000000113	ENSRNOG00000000113	307604	Elac1	ELAC1	NA	55520	Elac1	114615	RGD
transcript-rna-seq	ENSRNOG00000000121	ENSRNOG00000000121	366478	Pigv	PIGV	NA	55650	Pigv	230801	RGD
transcript-rna-seq	ENSRNOG00000000122	ENSRNOG00000000122	24184	Ak2	AK2	NA	204	Ak2	11637	RGD
transcript-rna-seq	ENSRNOG00000000123	ENSRNOG00000000123	313806	Rnf19b	RNF19B	NA	127544	Rnf19b	75234	RGD
transcript-rna-seq	ENSRNOG00000000124	ENSRNOG00000000124	NA	LOC103690615	NA	NA	NA	NA	NA	NA
transcript-rna-seq	ENSRNOG00000000127	ENSRNOG00000000127	362607	Kpna6	KPNA6	NA	23633	Kpna6	16650	RGD
transcript-rna-seq	ENSRNOG00000000129	ENSRNOG00000000129	500446	Phf24	PHF24	NA	23349	Phf24	230085	RGD
transcript-rna-seq	ENSRNOG00000000130	ENSRNOG00000000130	313811	Dnajb5	DNAJB5	NA	25822	Dnajb5	56323	RGD
transcript-rna-seq	ENSRNOG00000000133	ENSRNOG00000000133	307180	Txndc15	TXNDC15	NA	79770	Txndc15	69672	RGD
transcript-rna-seq	ENSRNOG00000000137	ENSRNOG00000000137	291359	Ly86	LY86	NA	9450	Ly86	17084	RGD
transcript-rna-seq	ENSRNOG00000000138	ENSRNOG00000000138	298732	Glis1	GLIS1	NA	148979	Glis1	230587	RGD
transcript-rna-seq	ENSRNOG00000000142	ENSRNOG00000000142	361282	Plxdc2	PLXDC2	NA	84898	Plxdc2	67448	RGD
transcript-rna-seq	ENSRNOG00000000145	ENSRNOG00000000145	60664	Pik3r3	PIK3R3	NA	8503	Pik3r3	18710	RGD
transcript-rna-seq	ENSRNOG00000000150	ENSRNOG00000000150	100360412	Dnajc1	DNAJC1	NA	64215	Dnajc1	13418	RGD
transcript-rna-seq	ENSRNOG00000000151	ENSRNOG00000000151	500564	Ldlrap1	LDLRAP1	NA	26119	Ldlrap1	100017	RGD
transcript-rna-seq	ENSRNOG00000000155	ENSRNOG00000000155	361073	Cog3	COG3	NA	83548	Cog3	338337	RGD
transcript-rna-seq	ENSRNOG00000000156	ENSRNOG00000000156	100911486	Megf6	MEGF6	ENSG00000162591	1953	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000156	ENSRNOG00000000156	65049	Megf6	MEGF6	ENSG00000162591	1953	Megf6	230971	RGD
transcript-rna-seq	ENSRNOG00000000156	ENSRNOG00000000156	100911486	LOC100911486	MEGF6	ENSG00000162591	1953	NA	NA	ensembl
transcript-rna-seq	ENSRNOG00000000156	ENSRNOG00000000156	65049	LOC100911486	MEGF6	ENSG00000162591	1953	Megf6	230971	RGD
