gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,indirect_association.diseaseId,indirect_association.score,direct_association.diseaseId,direct_association.score,indirect_association.disease,direct_association.disease,ensembl_ID
MT-ND1,6,BAT,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL,EFO_0000589,0.893760572623105,Orphanet_104,0.779965334381792,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198888
MT-ND5,5,BAT,HEART,LIVER,SKM-GN,SKM-VL,"",EFO_0000589,0.900620003602307,Orphanet_550,0.777056572368885,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)","MELAS: MELAS (Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke) syndrome is a rare progressive multisystemic disorder characterized by encephalomyopathy, lactic acidosis, and stroke-like episodes. Other features include endocrinopathy, heart disease, diabetes, hearing loss, and neurological and psychiatric manifestations.",ENSG00000198786
MT-ATP6,5,BAT,KIDNEY,LIVER,SKM-GN,SKM-VL,"",EFO_0000508,0.874510717750957,Orphanet_506,0.75041880674563,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Leigh syndrome: A progressive neurological disease defined by specific neuropathological features associating brainstem and basal ganglia lesions.,ENSG00000198899
NDUFA12,5,BAT,BLOOD,HEART,SKM-GN,SKM-VL,"",EFO_0000589,0.799769421740407,MONDO_0005148,0.607452603413057,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000184752
COQ9,5,BAT,COLON,HEART,SKM-GN,SKM-VL,"",EFO_0000508,0.79716310638602,Orphanet_319678,0.75005275589903,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Encephalopathy - hypertrophic cardiomyopathy - renal tubular disease: Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome is a rare mitochondrial disease due to a defect in coenzyme Q10 biosynthesis that manifests with a broad spectrum of signs and symptoms which may include: neonatal lactic acidosis, global developmental delay, tonus disorder, seizures, reduced spontaneous movements, ventricular hypertrophy, bradycardia, renal tubular dysfunction with massive lactic acid excretion in urine, severe biochemical defect of respiratory chain complexes II/III when assayed together and deficiency of coenzyme Q10 in skeletal muscle. Cerebral and cerebellar atrophy can be seen on magnetic resonance imaging and multiple choroid plexus cysts and symmetrical hyperechoic signal alterations in basal ganglia have been observed on ultrasound.",ENSG00000088682
COX7B,5,BAT,BLOOD,SKM-GN,SKM-VL,SPLEEN,"",EFO_0000508,0.771035119968508,Orphanet_2556,0.770826529418818,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Microphthalmia with linear skin defects syndrome: A genetic condition that affects the eyes and skin. It is mainly found in females and is characterized by small or poorly developed eyes (microphthalmia) and characteristic linear skin markings on the head and neck. The signs and symptoms of this condition may include abnormalities of the brain, heart, and genitourinary system. Other symptoms may include short stature, developmental delay, and finger and toenails that do not grow normally (nail dystrophy). MLS syndrome is typically caused by either a deletion of certain genetic material on the p (short) arm of the X chromosome or by a mutation in the HCCS gene. In some cases, it may be caused by mutations in the COX7B and NDUFB11 genes, (also located on the X chromosome). According to the mutated gene, the disease may be classified in three subtypes. This condition is inherited in an X-linked manner and is thought to result in serious early developmental concerns in males, leading to almost no males with this condition surviving to delivery.Although there is no specific treatment or cure for MLS syndrome, there may be ways to manage the symptoms. A team of doctors is often needed to figure out the treatment options based on each person's symptoms.",ENSG00000131174
TUBB6,5,ADRNL,BAT,LUNG,SKM-GN,SKM-VL,"",EFO_0000508,0.744667016412239,EFO_0003060,0.607438011369589,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","non-small cell lung carcinoma: A group of at least three distinct histological types of lung cancer, including non-small cell squamous cell carcinoma, adenocarcinoma, and large cell carcinoma. Non-small cell lung carcinomas have a poor response to conventional chemotherapy.",ENSG00000176014
ALDH2,5,BAT,BLOOD,COLON,HEART,SKM-VL,"",EFO_0000618,0.685092997914305,MONDO_0007079,0.633084838122457,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.",alcohol dependence: Physical and psychological dependence on alcohol.,ENSG00000111275
ATP5MF,5,BAT,BLOOD,COLON,SKM-GN,SKM-VL,"",EFO_0001444,0.122674988608857,EFO_0004696,0.105077866503558,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"sex hormone-binding globulin measurement: Is a quantification of sex hormone binding globulin. In men the test is used in when investigating testosterone deficiency.  The SHBG glycoprotein binds to circulating estradiol and testosterone, low levels of SHBG may be implicated in breast cancer etiology.",ENSG00000241468
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",EFO_0000589,0.915429734104391,EFO_0004911,0.878540853331099,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",familial hypercholesterolemia: Familial hypercholesterolemia is is an autosomal dominant disorder characterized by elevation of serum cholesterol bound to low density lipoprotein (OMIM),ENSG00000130164
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",EFO_0009676,0.900482246865198,Orphanet_367,0.826273750143396,musculoskeletal system disease: A disease involving the musculoskeletal system.,"Glycogen storage disease due to glycogen branching enzyme deficiency: Glycogen branching enzyme (GBE) deficiency (Andersen's disease or amylopectinosis), or glycogen storage disease type 4 (GSD4), is a rare and severe form of glycogen storage disease which accounts for approximately 3% of all the glycogen storage diseases.",ENSG00000114480
MT-ND2,4,HEART,LIVER,SKM-GN,SKM-VL,"","",EFO_0000589,0.891743823267824,Orphanet_104,0.727849881408914,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198763
MT-ND6,4,BAT,KIDNEY,SKM-GN,SKM-VL,"","",EFO_0000589,0.890844881133481,Orphanet_104,0.78219319406039,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198695
LPL,4,HEART,HIPPOC,KIDNEY,SKM-VL,"","",EFO_0001379,0.880537193847386,Orphanet_309015,0.840010753037644,"endocrine system disease: Pathological processes of the ENDOCRINE GLANDS, and diseases resulting from abnormal level of available HORMONES.","Familial lipoprotein lipase deficiency: Familial lipoprotein lipase deficiency is a rare genetic disorder is which a person lacks the enzyme lipoprotein lipase, a protein needed to break down fat molecules. Deficiency of this enzyme prevents affected individuals from properly digesting certain fats. This results in the accumulation of fatty droplets called chylomicrons in the blood and an increase in the blood concentration of triglycerides. Symptoms include episodes of abdominal pain, recurrent inflammation of the pancreas (pancreatitis), abnormal enlargement of the liver and/or spleen (hepatosplenomegaly), and the development of skin lesions known as erruptive xanthomas. Familial lipoprotein lipase deficiency is caused by changes (mutations) in the LPL gene. It is inherited in an autosomal recessive pattern. Treatment aims to control symptoms and blood triglyceride levels with a very low-fat diet. Treatment for individual symptoms (i.e. pancreatitis) involves following established treatment guidelines.",ENSG00000175445
